
# ========== clean session started at 2026-03-18 13:42:47 ==========
[2026-03-18 13:42:57] [clean] REMOVED /Library/Logs/DiagnosticReports/.shutdown_stall_2023-03-30-001244_Carls-MacBook-Air.shutdownStall
[2026-03-18 13:42:57] [clean] REMOVED /Library/Logs/DiagnosticReports/.contents.panic (20KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/secureclient/csc_vpn_uninstall.log (8KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/secureclient/csc_dart_uninstall.log (4KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/shutdown_monitor.log (16KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/karabiner/grabber.1.log (262KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/karabiner/virtual_hid_device_service.1.log (262KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/powermanagement/2026.03.08.asl (860KB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/powermanagement/2026.03.09.asl (1.1MB)
[2026-03-18 13:42:57] [clean] REMOVED /private/var/log/powermanagement/2026.03.04.asl (1.0MB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/powermanagement/2026.03.05.asl (1.1MB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/powermanagement/2026.03.07.asl (582KB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/powermanagement/2026.03.06.asl (717KB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/asl/BB.2026.10.31.G80.asl (4KB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/asl/BB.2027.02.28.G80.asl (29KB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/asl/BB.2026.12.31.G80.asl (8KB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/asl/BB.2026.11.30.G80.asl (8KB)
[2026-03-18 13:42:58] [clean] REMOVED /private/var/log/asl/BB.2027.01.31.G80.asl (4KB)
[2026-03-18 13:42:59] [clean] REMOVED /private/var/folders/6s/zfj6z44j1nlc02ky3xjmdflw0000gn/X/com.brave.Browser.code_sign_clone (424.9MB)
[2026-03-18 13:43:00] [clean] REMOVED /private/var/folders/6s/zfj6z44j1nlc02ky3xjmdflw0000gn/X/com.google.Chrome.code_sign_clone (2.07GB)
[2026-03-18 13:43:00] [clean] REMOVED /private/var/folders/6s/zfj6z44j1nlc02ky3xjmdflw0000gn/X/com.microsoft.teams2.helper.code_sign_clone
[2026-03-18 13:43:04] [clean] REMOVED /private/var/db/diagnostics/Signpost/00000000000035da.tracev3 (57KB)
[2026-03-18 13:43:04] [clean] REMOVED /private/var/db/diagnostics/shutdown.0.log (41KB)
[2026-03-18 13:43:04] [clean] REMOVED /private/var/db/diagnostics/logd.1.log (1.1MB)
